geoid,state_abbr,office,year,abs_margin,dem_margin,power,voting_power
25084,MA,statehouse,2016,100.0,-100.0,0.0016517250710220896,1.6517250710220896e-05
25085,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25086,MA,statehouse,2016,100.0,-100.0,0.0016517250710220896,1.6517250710220896e-05
25087,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25088,MA,statehouse,2016,49.69337388442938,49.69337388442938,0.0016517250710220896,3.323833625914523e-05
25089,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25090,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25091,MA,statehouse,2016,9.871833340477517,-9.871833340477517,0.0016517250710220896,0.00016731695259172526
25092,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25093,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25094,MA,statehouse,2016,67.13608378741773,67.13608378741773,0.0016517250710220896,2.4602642540964634e-05
25095,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25096,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25097,MA,statehouse,2016,26.97662976629766,26.97662976629766,0.0016517250710220896,6.122799939544771e-05
25098,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25099,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25114,MA,statehouse,2016,19.3135568329627,-19.3135568329627,0.0016517250710220896,8.552153729669663e-05
25100,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25101,MA,statehouse,2016,100.0,-100.0,0.0016517250710220896,1.6517250710220896e-05
25102,MA,statehouse,2016,100.0,-100.0,0.0016517250710220896,1.6517250710220896e-05
25103,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25104,MA,statehouse,2016,20.00988875154512,-20.00988875154512,0.0016517250710220896,8.254543998374539e-05
25105,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25106,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25107,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25108,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25109,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25110,MA,statehouse,2016,61.28815833612882,61.28815833612882,0.0016517250710220896,2.6950150173600705e-05
25111,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25112,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25113,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25115,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25116,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25117,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25118,MA,statehouse,2016,30.36933919171706,-30.36933919171706,0.0016517250710220896,5.438791606873624e-05
25119,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25120,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25121,MA,statehouse,2016,19.294434098903373,19.294434098903373,0.0016517250710220896,8.560629778283923e-05
25122,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25123,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25124,MA,statehouse,2016,30.165405102326886,30.165405102326886,0.0016517250710220896,5.475560714066722e-05
25125,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25126,MA,statehouse,2016,27.702089009990914,27.702089009990914,0.0016517250710220896,5.962456731787937e-05
25127,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25128,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25129,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25130,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
25131,MA,statehouse,2016,24.72982633194567,24.72982633194567,0.0016517250710220896,6.679080753949381e-05
25132,MA,statehouse,2016,100.0,100.0,0.0016517250710220896,1.6517250710220896e-05
